RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
7/12/2026 1:30:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:30:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:30:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 1:35:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 1:35:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:35:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 1:40:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 1:40:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:40:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 1:45:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 1:45:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:45:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 1:50:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 1:50:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:50:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 1:55:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 1:55:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 1:55:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:00:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:00:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:00:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:00:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:05:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:05:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:05:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:05:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:10:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,03SLPGC_G02,7/2/2026 10:35:00 AM,7/13/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:10:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:10:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:10:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:15:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:15:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:15:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:15:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:20:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:20:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:20:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:20:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:25:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:25:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:25:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:25:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:30:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:30:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:30:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:30:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:35:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:35:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:35:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:35:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:40:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,08PDPP3_E,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,08PDPP3_G,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,08PDPP3_H,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/12/2026 2:40:00 AM,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,12TM2_U01,7/12/2026 2:01:00 AM,7/12/2026 4:00:00 AM,STATUS,OUT,
7/12/2026 2:40:00 AM,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:40:00 AM,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:45:00 AM,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/12/2026 2:45:00 AM,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:45:00 AM,03SNGAB_G01,6/15/2026 12:01:00 AM,7/14/2026 11:59:00 PM,STATUS,OUT,
7/12/2026 2:45:00 AM,08PDPP3_C,7/12/2026 1:01:00 AM,7/12/2026 4:00:00 PM,STATUS,OUT,
